gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.03373809453766929	nan	48	176.67061611374407	15	40.96682464454976	12	9.116113744075829	32	117.92417061611374	0.75	16.952380952380953
1	194	0.03373809453766929	nan	48	202.33793103448275	15	16.717241379310344	12	8.9	32	45.42758620689655	0.438	9.857142857142858
2	215	0.03127361713525244	nan	279	201.96336996336996	17	10.296703296703297	23	7.758241758241758	54	26.57875457875458	0.394	8.857142857142858
3	242	0.028801506395304478	nan	796	211.208	15	11.104	18	8.392	39	28.624	0.382	8.80952380952381
4	240	0.025781164808380504	nan	52	198.87890625	14	10.1796875	16	8.68359375	33	25.98828125	0.418	9.333333333333334
5	261	0.025781164808380504	nan	52	220.50643776824035	14	9.67381974248927	16	8.339055793991417	33	24.01716738197425	0.358	7.9523809523809526
6	250	0.025781164808380504	nan	52	194.5183673469388	14	8.636734693877552	16	7.893877551020408	33	20.457142857142856	0.394	9.19047619047619
7	272	0.025781164808380504	nan	52	214.48	14	8.844444444444445	16	7.742222222222222	33	20.85333333333333	0.35	8.047619047619047
8	273	0.025781164808380504	nan	52	194.4177777777778	14	9.297777777777778	16	8.168888888888889	33	21.76	0.368	8.619047619047619
9	289	0.014156780279900324	nan	482	175.38834951456312	28	7.456310679611651	11	6.966019417475728	55	16.864077669902912	0.342	8.0
10	299	0.014156780279900324	nan	482	176.321608040201	28	6.688442211055277	11	6.788944723618091	55	14.969849246231156	0.322	7.523809523809524
11	289	0.014156780279900324	nan	482	220.6	28	9.223809523809523	11	7.233333333333333	55	20.933333333333334	0.336	8.0
12	300	0.014156780279900324	nan	482	198.6060606060606	28	8.348484848484848	11	7.2272727272727275	55	18.31313131313131	0.326	7.761904761904762
13	283	0.014156780279900324	nan	482	202.11574074074073	28	7.555555555555555	11	7.069444444444445	55	17.212962962962962	0.336	7.904761904761905
14	299	0.014156780279900324	nan	482	215.3233830845771	28	9.447761194029852	11	8.054726368159203	55	21.507462686567163	0.328	7.523809523809524
15	289	0.014156780279900324	nan	482	195.79146919431278	28	7.568720379146919	11	7.23696682464455	55	16.436018957345972	0.344	8.047619047619047
