gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.04443741547090184	nan	159	165.82920792079207	35	38.66831683168317	13	9.07920792079208	106	110.71039603960396	0.73	16.904761904761905
1	202	0.036351921306834824	nan	404	197.94623655913978	41	16.13978494623656	20	9.089605734767025	111	44.017921146953405	0.456	10.428571428571429
2	237	0.036351921306834824	nan	404	213.2806324110672	41	13.047430830039525	20	8.972332015810277	111	35.26086956521739	0.396	9.095238095238095
3	243	0.036351921306834824	nan	404	195.75697211155378	41	12.422310756972111	20	9.211155378486056	111	32.633466135458164	0.362	8.333333333333334
4	267	0.029943438774213006	nan	54	210.8995633187773	5	11.183406113537117	6	8.524017467248909	9	28.90829694323144	0.33	7.523809523809524
5	275	0.029943438774213006	nan	54	193.41203703703704	5	9.805555555555555	6	8.26388888888889	9	24.86111111111111	0.318	7.238095238095238
6	306	0.022788915620639845	nan	49	179.31413612565444	5	8.942408376963352	9	7.989528795811518	15	22.26178010471204	0.278	6.476190476190476
7	305	0.022788915620639845	nan	49	188.14659685863873	5	9.450261780104713	9	7.816753926701571	15	22.984293193717278	0.284	6.333333333333333
8	302	0.022788915620639845	nan	49	199.23316062176167	5	9.44041450777202	9	8.093264248704664	15	22.28497409326425	0.306	6.714285714285714
9	303	0.022788915620639845	nan	49	181.97448979591837	5	7.795918367346939	9	7.38265306122449	15	17.943877551020407	0.306	6.619047619047619
10	306	0.022788915620639845	nan	69	156.4502617801047	5	7.832460732984293	9	7.214659685863874	15	18.214659685863875	0.288	5.857142857142857
11	310	0.022788915620639845	nan	69	162.46774193548387	5	7.655913978494624	9	7.091397849462366	15	17.537634408602152	0.27	5.809523809523809
12	305	0.022788915620639845	nan	69	169.5179487179487	5	7.112820512820512	9	6.82051282051282	15	16.26153846153846	0.278	5.714285714285714
