gen	invalid	min_train	min_test	best_ind_length	avg_length	best_ind_nodes	avg_nodes	best_ind_depth	avg_depth	best_ind_used_codons	avg_used_codons	structural_diversity	fitness_diversity
0	0	0.15097880192706906	nan	3	128.3677811550152	1	29.820668693009118	3	8.39209726443769	2	85.68693009118542	0.536	0.35893648449039883
1	154	0.15097880192706906	nan	3	189.42205323193917	1	17.045627376425855	3	9.475285171102662	2	47.79467680608365	0.394	0.26440177252584934
2	163	0.15097880192706906	nan	3	204.25641025641025	1	14.67032967032967	3	9.871794871794872	2	41.13919413919414	0.416	0.28508124076809455
3	171	0.15097880192706906	nan	3	204.43065693430657	1	11.021897810218977	3	8.200729927007298	2	29.222627737226276	0.374	0.25258493353028066
4	168	0.15097880192706906	nan	3	186.2466216216216	1	8.074324324324325	3	7.679054054054054	2	21.35810810810811	0.372	0.24519940915805022
5	165	0.15097880192706906	nan	3	194.07986111111111	1	6.694444444444445	3	7.131944444444445	2	17.34375	0.35	0.2378138847858198
6	160	0.13244011693173352	nan	147	204.61347517730496	21	8.847517730496454	15	7.148936170212766	42	23.03191489361702	0.316	0.21418020679468242
7	157	0.13233552527458045	nan	147	207.04195804195805	21	7.437062937062937	15	7.146853146853147	42	18.926573426573427	0.316	0.21122599704579026
8	149	0.13233552527458045	nan	147	200.47916666666666	21	6.09375	15	6.496527777777778	42	15.159722222222221	0.292	0.19497784342688332
9	143	0.13233552527458045	nan	147	188.4083044982699	21	4.968858131487889	15	6.16955017301038	42	12.505190311418685	0.278	0.1861152141802068
10	141	0.13233552527458045	nan	147	176.41580756013747	21	5.151202749140894	15	6.048109965635739	42	12.491408934707904	0.272	0.17725258493353027
11	138	0.13233552527458045	nan	147	159.00359712230215	21	6.046762589928058	15	6.66546762589928	42	14.392086330935252	0.292	0.19497784342688332
12	150	0.13233552527458045	nan	147	148.86909090909091	21	5.290909090909091	15	6.316363636363636	42	12.283636363636363	0.272	0.18168389955686853
13	132	0.13233552527458045	nan	147	167.06164383561645	21	5.708904109589041	15	6.448630136986301	42	13.479452054794521	0.3	0.20236336779911374
14	141	0.10833302691648597	nan	109	169.99305555555554	30	7.444444444444445	21	7.402777777777778	75	17.48611111111111	0.304	0.20827178729689808
15	153	0.08586624621430611	nan	36	168.05	4	6.639285714285714	8	6.939285714285714	11	15.45357142857143	0.306	0.2038404726735598
16	154	0.08586624621430611	nan	36	154.77659574468086	4	6.99290780141844	8	6.99645390070922	11	16.45744680851064	0.306	0.21122599704579026
17	175	0.08586624621430611	nan	36	157.84897959183672	4	6.844897959183673	8	7.1020408163265305	11	16.2	0.266	0.18168389955686853
18	184	0.06993897927588563	nan	218	147.82926829268294	25	7.060975609756097	18	7.09349593495935	59	16.784552845528456	0.264	0.17725258493353027
